XPTO2
 41;xpto41;xpto41@outlook.com;107-96;
 42;xpto42;xpto42@outlook.com;73-121;
 43;xpto43;xpto43@outlook.com;53-67;
 44;xpto44;xpto44@outlook.com;98-144;
 45;xpto45;xpto45@outlook.com;68-127;
 46;xpto46;xpto46@outlook.com;61-133;
 47;xpto47;xpto47@outlook.com;75-133;
 48;xpto48;xpto48@outlook.com;112-109;
 49;xpto49;xpto49@outlook.com;128-52;
 50;xpto50;xpto50@outlook.com;57-136;
 51;xpto51;xpto51@outlook.com;115-144;
 52;xpto52;xpto52@outlook.com;82-130;
 53;xpto53;xpto53@outlook.com;134-89;
 54;xpto54;xpto54@outlook.com;115-110;
 55;xpto55;xpto55@outlook.com;111-122;
 56;xpto56;xpto56@outlook.com;134-108;
 57;xpto57;xpto57@outlook.com;122-58;
 58;xpto58;xpto58@outlook.com;69-62;
 59;xpto59;xpto59@outlook.com;99-97;
 60;xpto60;xpto60@outlook.com;109-99;
 61;xpto61;xpto61@outlook.com;102-121;
 62;xpto62;xpto62@outlook.com;72-84;
 63;xpto63;xpto63@outlook.com;70-71;
 64;xpto64;xpto64@outlook.com;83-142;
 65;xpto65;xpto65@outlook.com;89-130;
 66;xpto66;xpto66@outlook.com;59-124;
 67;xpto67;xpto67@outlook.com;147-78;
 68;xpto68;xpto68@outlook.com;143-150;
 69;xpto69;xpto69@outlook.com;75-79;
 70;xpto70;xpto70@outlook.com;116-54;
 71;xpto71;xpto71@outlook.com;131-129;
 72;xpto72;xpto72@outlook.com;71-148;
 73;xpto73;xpto73@outlook.com;112-141;
 74;xpto74;xpto74@outlook.com;54-132;
 75;xpto75;xpto75@outlook.com;150-109;
 76;xpto76;xpto76@outlook.com;51-84;
 77;xpto77;xpto77@outlook.com;130-101;
 78;xpto78;xpto78@outlook.com;119-142;
 79;xpto79;xpto79@outlook.com;89-127;
 80;xpto80;xpto80@outlook.com;147-88;
 81;xpto81;xpto81@outlook.com;84-101;
 82;xpto82;xpto82@outlook.com;69-85;
 83;xpto83;xpto83@outlook.com;51-72;
 84;xpto84;xpto84@outlook.com;59-117;
 85;xpto85;xpto85@outlook.com;81-140;
 86;xpto86;xpto86@outlook.com;61-132;
 87;xpto87;xpto87@outlook.com;134-101;
 88;xpto88;xpto88@outlook.com;120-128;
 89;xpto89;xpto89@outlook.com;92-124;
 90;xpto90;xpto90@outlook.com;138-150;
 91;xpto91;xpto91@outlook.com;130-103;
 92;xpto92;xpto92@outlook.com;112-107;
 93;xpto93;xpto93@outlook.com;101-82;
 94;xpto94;xpto94@outlook.com;113-98;
 95;xpto95;xpto95@outlook.com;96-142;
 96;xpto96;xpto96@outlook.com;111-54;
 97;xpto97;xpto97@outlook.com;148-81;
 98;xpto98;xpto98@outlook.com;102-119;
 99;xpto99;xpto99@outlook.com;70-138;
 
